IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
"35.74.223.252","443","true","11 ms","23.42 MB/s","35.74.223.252","IPv4","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"54.151.249.183","443","true","5 ms","22.93 MB/s","54.151.249.183","IPv4","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"43.207.197.79","443","true","3 ms","21.00 MB/s","2406:da14:f36:9b00:5ea1:eaee:e645:bc5f","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"18.143.95.22","443","true","6 ms","20.44 MB/s","52.76.194.79","IPv4","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.151.227.203","443","true","8 ms","19.46 MB/s","2406:da18:78e:b100:2f6f:57f9:af60:b101","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.248.72.189","8443","true","4 ms","17.66 MB/s","2406:da14:1e23:9400:56a1:4df9:8e03:8352","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"43.212.202.45","443","true","7 ms","17.31 MB/s","43.212.202.45","IPv4","TPE","TW","Asia Pacific","Taipei","AS16509","Amazon.com, Inc."
"18.136.194.60","443","true","11 ms","16.62 MB/s","2406:da18:642:e100:35d5:3a91:2d6:9249","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.250.226.15","443","true","6 ms","16.49 MB/s","2406:da14:1a22:d900:cb47:41eb:9e7c:dfea","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"43.200.87.5","443","true","6 ms","16.39 MB/s","2406:da12:faf:7b00:689e:fec4:89ba:1a38","IPv6","ICN","KR","Asia Pacific","Seoul","AS16509","Amazon.com, Inc."
"75.2.58.141","443","true","14 ms","15.41 MB/s","54.174.175.188","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"13.231.5.138","443","true","6 ms","15.36 MB/s","2406:da14:94:7600:c37f:eea5:170b:febe","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"13.248.215.36","443","true","4 ms","14.70 MB/s","34.245.199.100","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"18.132.0.73","443","true","13 ms","14.64 MB/s","18.132.0.73","IPv4","LHR","GB","Europe","London","AS16509","Amazon.com, Inc."
"16.176.42.97","443","true","10 ms","14.59 MB/s","16.176.42.97","IPv4","SYD","AU","Oceania","Sydney","AS16509","Amazon.com, Inc."
"43.213.148.173","443","true","8 ms","14.46 MB/s","43.212.202.45","IPv4","TPE","TW","Asia Pacific","Taipei","AS16509","Amazon.com, Inc."
"54.65.218.189","443","true","7 ms","14.42 MB/s","54.65.218.189","IPv4","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"54.169.53.9","443","true","8 ms","13.53 MB/s","2406:da18:1595:4d01:7383:413d:7aa3:a22d","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"35.79.146.187","443","true","25 ms","12.93 MB/s","2406:da14:1441:4f00:10fe:a324:c958:e2b4","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"13.212.173.157","443","true","4 ms","12.74 MB/s","2406:da18:b2b:50a6:ad74:64a5:f21e:e240","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"76.223.77.48","443","true","5 ms","12.63 MB/s","18.201.171.239","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"54.190.252.67","443","true","19 ms","12.41 MB/s","35.91.146.7","IPv4","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"3.252.156.154","443","true","8 ms","12.29 MB/s","3.252.156.154","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"13.126.35.51","443","true","19 ms","11.58 MB/s","2406:da1a:d9c:9f00:7aaf:4a49:1fb5:4c73","IPv6","BOM","IN","Asia Pacific","Mumbai","AS16509","Amazon.com, Inc."
"52.66.217.91","443","true","3 ms","11.48 MB/s","52.66.217.91","IPv4","BOM","IN","Asia Pacific","Mumbai","AS16509","Amazon.com, Inc."
"18.199.97.136","443","true","14 ms","11.44 MB/s","18.199.97.136","IPv4","FRA","DE","Europe","Frankfurt","AS16509","Amazon.com, Inc."
"54.151.131.18","443","true","14 ms","11.40 MB/s","2406:da18:580:a901:82df:a3d:1bea:21f6","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"166.117.143.12","443","true","4 ms","11.32 MB/s","3.239.41.115","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"13.229.65.190","443","true","7 ms","11.31 MB/s","2406:da18:4d6:2200:bf6d:8e35:d66e:3ec9","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.153.62.161","443","true","11 ms","11.22 MB/s","54.153.62.161","IPv4","SJC","US","North America","San Jose","AS16509","Amazon.com, Inc."
"44.228.254.176","443","true","10 ms","10.96 MB/s","2600:1f14:1624:1800:4ccd:1f84:d215:b50a","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"76.223.33.155","443","true","10 ms","10.89 MB/s","54.174.175.188","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"3.250.142.12","443","true","8 ms","10.82 MB/s","3.250.142.12","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"52.195.228.243","443","true","11 ms","10.66 MB/s","2406:da14:1f87:3300:d99:1087:b5db:2759","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"54.254.75.107","443","true","5 ms","10.60 MB/s","2406:da18:1c75:8400:8aa3:9d92:faa:43d9","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.250.146.68","443","true","4 ms","10.13 MB/s","2406:da14:c20:ac00:8b2b:9f1d:9ff9:6e58","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"3.33.157.34","443","true","12 ms","10.00 MB/s","35.91.146.7","IPv4","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"18.143.76.130","443","true","21 ms","9.80 MB/s","2406:da18:797:cb00:e2e0:f26a:24fd:936","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"57.180.7.188","443","true","2 ms","9.74 MB/s","57.180.7.188","IPv4","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"18.141.102.218","443","true","9 ms","9.70 MB/s","2406:da18:6c6:b100:a08f:3ed7:4d9:3b36","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"63.178.166.91","443","true","8 ms","9.67 MB/s","63.178.166.91","IPv4","FRA","DE","Europe","Frankfurt","AS16509","Amazon.com, Inc."
"75.2.79.84","443","true","7 ms","9.43 MB/s","35.85.29.108","IPv4","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"15.197.162.87","443","true","5 ms","9.19 MB/s","98.82.36.110","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"44.247.78.252","5010","true","9 ms","9.13 MB/s","2600:1f14:1a3b:7b00:7053:7279:43b5:e886","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"34.245.69.90","443","true","4 ms","8.89 MB/s","34.245.69.90","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"54.202.144.146","443","true","10 ms","8.88 MB/s","2600:1f14:1a56:1600:ad33:f91:b78e:7d0d","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"34.248.75.100","443","true","4 ms","8.71 MB/s","34.248.75.100","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"166.117.33.104","443","true","14 ms","8.63 MB/s","18.208.183.108","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"52.56.168.34","443","true","7 ms","8.61 MB/s","2a05:d01c:771:d600:102d:8d96:91d9:6c57","IPv6","LHR","GB","Europe","London","AS16509","Amazon.com, Inc."
"52.76.194.79","443","true","10 ms","8.53 MB/s","52.76.194.79","IPv4","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
